date,new_cases,new_deaths,new_tests
2019-12-31,0.0,0.0,
2020-01-01,0.0,0.0,
2020-01-02,0.0,0.0,
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0,
2020-04-21,2256.0,454.0,28095.0
2020-04-22,2729.0,534.0,44248.0
2020-04-23,3370.0,437.0,37083.0
2020-04-24,2646.0,464.0,95273.0
2020-04-25,3021.0,420.0,38676.0
2020-04-26,2357.0,415.0,24113.0
2020-04-27,2324.0,260.0,26678.0
2020-04-28,1739.0,333.0,37554.0
2020-08-30,1444.0,1.0,53541.0
2020-08-31,1365.0,4.0,42583.0
2020-09-01,996.0,6.0,54395.0
2020-09-02,975.0,8.0,
2020-09-03,1326.0,6.0,
