date,new_cases,new_deaths,new_tests
2019-12-31,0.0,0.0,
2020-01-01,0.0,0.0,
2020-01-02,0.0,0.0,
2020-01-03,0.0,0.0
2020-01-04,0.0,0.0,
2020-03-20,5322.0,429.0,
2020-03-21,5986.0,625.0,
2020-03-22,6557.0,795.0,
2020-03-23,5560.0,649.0,
2020-03-25,5249.0,743.0,
2020-03-26,5210.0,685.0,
2020-03-27,6153.0,660.0,
2020-03-28,5959.0,971.0,
2020-03-29,5974.0,887.0,
2020-03-30,5217.0,758.0,
2020-04-21,2256.0,454.0,28095.0
2020-04-22,2729.0,534.0,44248.0
2020-04-23,3370.0,437.0,37083.0
2020-04-24,2646.0,464.0,95273.0
2020-04-25,3021.0,420.0,38676.0
2020-04-26,2357.0,415.0,24113.0
2020-04-27,2324.0,260.0,26678.0
2020-04-28,1739.0,333.0,37554.0
2020-05-01,1872.0,285.0,43732.0
2020-05-01,1965.0,269.0,31231.0
2020-05-01,1900.0,474.0,27047.0
2020-05-01,1389.0,174.0,22999.0
2020-05-01,1221.0,195.0,32211.0
2020-05-01,1075.0,236.0,37771.0
2020-05-01,1444.0,369.0,13665.0
2020-05-01,1401.0,274.0,45428.0
2020-05-01,1327.0,243.0,36091.0
2020-05-01,1083.0,194.0,31384.0
2020-05-01,802.0,165.0,25834.0
2020-05-01,744.0,179.0,39620.0
2020-06-17,210.0,34.0,33957.0
2020-06-18,328.0,43.0,32921.0
2020-06-19,331.0,66.0,28570.0
2020-06-20,-148.0,47.0,29875.0
2020-06-21,264.0,49.0,24581.0
2020-06-22,224.0,24.0,16152.0
2020-06-23,221.0,23.0,23225.0
2020-08-30,1444.0,1.0,53541.0
2020-08-31,1365.0,4.0,42583.0
2020-09-01,996.0,6.0,54395.0
2020-09-02,975.0,8.0,
2020-09-03,1326.0,6.0,
